SURVEY_YEAR,SURVEY_QUARTER,STRATA,BA_LABEL,BA_N_ROLLING,BA_D_ROLLING,BA_PCT_ROLLING,DELTA_PQ
2025,2,CL ,Brown & Brown,386,654,0.59021406727828751,0.1303802722644371
2024,2,CL ,Insureon,87,456,0.19078947368421054,0.057456140350877205
2024,2,CL ,Allstate,268,316,0.84810126582278478,-0.022191621206503975
2024,1,CL ,Brown & Brown,196,1244,0.15755627009646303,0.0083982909465031286
2024,4,PL ,Goosehead,30,804,0.037313432835820892,0.0055253533656222167
2023,3,CL ,Hiscox,102,560,0.18214285714285713,
2025,2,PL ,Lemonade,426,631,0.67511885895404122,0.10848830640799567
2025,1,CL ,Arthur J. Gallagher & Co.,378,1041,0.36311239193083572,0.16099340252578276
2023,4,CL ,Goosehead,59,719,0.082058414464534074,-0.013094188767063766
2024,3,PL ,Hiscox,11,438,0.025114155251141551,0.00054768126270224315
2024,4,CL ,Intuit QuickBooks,321,409,0.784841075794621,
2025,1,PL ,None of the above,1236,1918,0.64442127215849843,0.1740916018288281
2024,1,PL ,Allstate,698,737,0.94708276797829039,0.003762929921610203
2025,2,CL ,Aon,520,762,0.6824146981627297,0.12573963519043752
2023,4,CL ,Hub International,197,1247,0.15797914995990378,-0.018421326798141513
2024,1,CL ,Hub International,186,1244,0.14951768488745981,-0.0084614650724439688
2024,2,PL ,Lemonade,174,715,0.24335664335664337,0.039499894045348594
2024,2,CL ,Arthur J. Gallagher & Co.,166,1212,0.13696369636963696,0.038089098298897409
2024,4,PL ,Arthur J. Gallagher & Co.,100,1820,0.054945054945054944,0.0076923076923076927
2023,4,CL ,Lemonade,277,719,0.38525730180806678,-0.023671269620504642
2024,1,PL ,Lemonade,148,726,0.20385674931129477,-0.078053259871441683
2025,2,CL,Marsh McLennan,105,450,0.23333333333333334,
2025,2,PL,None of the above,355,900,0.39444444444444443,
2025,2,PL ,None of the above,994,1314,0.756468797564688,0.11204752540618956
2024,1,PL ,SoFi,375,719,0.521557719054242,-0.051579355462777365
2025,1,PL ,SoFi,384,598,0.64214046822742477,0.014031015491106302
2025,2,PL ,Arthur J. Gallagher & Co.,84,658,0.1276595744680851,0.031780018208180189
2024,1,PL ,Goosehead,14,720,0.019444444444444445,-0.015546347452424801
2023,4,CL ,Hippo,165,723,0.22821576763485477,-0.035698056422595853
2024,3,PL ,Hippo,74,751,0.0985352862849534,0.043859027292147641
2024,2,PL ,Hub International,70,1858,0.037674919268030141,0.0091496232508073219
2023,4,PL ,SoFi,623,1087,0.57313707451701934,-0.01914278073026654
2025,1,PL ,Arthur J. Gallagher & Co.,121,1262,0.095879556259904908,0.040934501314849964
2024,2,PL ,Marsh McLennan,133,1858,0.071582346609257261,-0.0021528525296017342
